
"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Botswana","BWA","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","1600","2700","2600","2600","2600","2800","3500","3300","4300","4600","4900","5800","6700","6300","3800","3600","4000","4200","4900","5400","5900","6703","7138","7304","7214","7885","8181","6905","7366","6105","6142","7681","7910.25856004678","8422.23447986064","9396","8304","7741","7933","7002","6774","6361","",
"Central African Republic","CAF","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","3600","3600","3300","3400","3400","3700","3900","3800","4100","4200","4300","4000","4200","4100","4200","4300","4300","4300","4400","4400","3800","4500","1100","1300","1300","1300","1500","1500","1500","1500","1518","716","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","305200","292500","291400","348900","371900","363800","352900","348000","349200","357700","382000","383600","344000","325300","343600","351900","343000","333800","380900","370200","346800","257800","258700","243700","253500","282800","305800","310800","317800","319600","963468","982013","263906","1036092","988755","1018480","1042100","1188947","1200361","1198381","1234528.61925597","1245743.61579713","1280198.18557714","1263297.33686341","1290419","1322033","1359442","1443818","1250460","1215983","",
"Central Europe and the Baltics","CEB","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","72700","88900","100300","105300","110900","120200","140700","143100","142900","150900","142600","119000","103300","118200","127900","127300","133300","133000","130000","133200","129000","93800","116900","143800","151200","158500","167200","183500","188200","205200","220821","237439","235443","268637","314685","347743","363872","397337","415443","405656","459987.605461649","458432.212389811","409115.831651127","407489","414473.868","420199","436849","484988","549291","566415","",
"Switzerland","CHE","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","84600","86500","83100","85700","87700","89500","89300","90500","93600","95300","97700","95900","109200","111400","111600","115800","122200","122700","132000","145900","152100","150800","157600","168900","174900","191200","218200","220800","250300","276300","289031","284899","242800","189121","144703","134839","125126","139124","158788","168280","224807","244994","257233.254295533","266128","263267","250094","229530","216436","219782","225755","",
"Channel Islands","CHI","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","24900","27000","24800","21200","21500","16600","14300","14800","14100","12500","13700","18300","20700","19200","20100","25300","26300","29000","35300","36000","40100","36600","48200","58600","68800","77800","93700","109300","119100","92500","87945","82942","78187","82789","86140","93003","94770","101008","108565","97473","108840","123739","125120","127631","124480","116532","116238","124316","134661","143964","",
"China","CHN","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","21200","26600","27700","28800","34000","63000","51000","57300","69800","74000","92500","102200","127900","159700","176900","159200","196000","190300","200300","261600","325900","397600","493000","470200","510500","547800","572921","840911","932064","946354","1209900","1349269","1542564","1753550","1853088","2140124","2377789","2538667","2779741","3073450","3356756","3616026","3952098","4359033","4692008","4963752","",
"Cote d'Ivoire","CIV","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","4300","3900","3800","4000","4000","4600","4900","4900","5100","5200","5600","10300","10400","10400","10700","6100","6100","6700","7100","5600","5400","4900","5000","4600","4300","4400","4600","3500","3500","6300","2342","716","","","","","","","","","5604","907","415","3912","4032","9068","9463","14884","14666","12890","",
"Cameroon","CMR","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","3800","2800","2300","4000","0","3700","0","7200","6500","10000","8300","8400","8500","8200","8100","8200","6100","6200","6200","9700","7100","7000","4100","4100","4200","3800","3800","6500","6600","5400","5580","10103","4720","9524","10337","10696","10925","11650","9471","9501","0","3036","4938","5640","5640","5499","8212","5640","5550","4724","",
"Congo, Dem. Rep.","COD","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","8300","7900","8100","8900","12000","19200","18600","15800","14100","13600","11800","12200","9200","7400","7600","3900","5000","5200","4500","4800","5100","3500","3000","2600","3900","","","","","","","5200","","","","","","","","","1945","2295","4781","11448","11580","12476","11513","18757","8271","7532","",
"Congo, Rep.","COG","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","3700","3700","3400","3600","3600","3800","4000","4000","4300","4400","4300","5300","5600","6100","6000","6400","6700","4400","4500","4700","4100","4800","4700","4900","4900","6300","5400","10200","10300","6000","6257","5235","4505","4783","","","","","","","3755.33363289149","4817","7011","12132","10380","11462","10604","8439","4976","4990.79","",
"Colombia","COL","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","145800","125200","115400","103300","75700","70300","69200","63500","69300","70100","65500","69400","157900","158800","133300","124100","123900","118200","118600","127000","116900","124500","147100","167200","181500","193700","195200","224800","234700","208600","199370","190465","179994","171933","153204","162095","175006","185872","187382","196298","226094","237570.829047845","254059.928996848","304365.908","349864.363","368947","366188","355039","358874","371985","",
